Type,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Desktop PC,142.7,146.2,161.1,144.9,127.1,145.8,155,157.9,161.5,163.7,165.7,166.2
Portable PC,65.4,82.6,108,142.7,169,201.2,209.5,224.8,252.1,287.3,324.9,362.4
